variable,X0.1.Value,X0.1.Std..Error,X0.1.lower.bound,X0.1.upper.bound,X0.1.Pr...t..,X0.25.Value,X0.25.Std..Error,X0.25.lower.bound,X0.25.upper.bound,X0.25.Pr...t..,X0.5.Value,X0.5.Std..Error,X0.5.lower.bound,X0.5.upper.bound,X0.5.Pr...t..,X0.75.Value,X0.75.Std..Error,X0.75.lower.bound,X0.75.upper.bound,X0.75.Pr...t..,X0.9.Value,X0.9.Std..Error,X0.9.lower.bound,X0.9.upper.bound,X0.9.Pr...t..,model
(Intercept)...1,3.950539350402653,0.21600269422725568,3.516465684930361,4.384613015874945,1.551173400926527e-23,4.528063414026054,0.19900727965673326,4.12814331281943,4.927983515232678,1.061480279006194e-27,4.732388634963014,0.19288585846362336,4.344769990202101,5.120007279723927,3.5385494531496665e-29,4.8598031619793005,0.18901031441350344,4.479972714571912,5.239633609386689,4.188108515876003e-30,5.294778503263259,0.23965192150044745,4.813179936285519,5.776377070240998,3.957716461368824e-27,Tertiary
exp_imp...2,0.005695924507851146,0.04016773848874144,-0.07502416809060672,0.086416017106309,0.8878166776258001,-0.005791124273386272,0.029193264693553336,-0.06445718609251037,0.052874937545737834,0.8435748315252649,0.004504129734469246,0.028416897867324264,-0.0526017645357363,0.06161002400467479,0.8747128464044753,0.0282361943490804,0.029385523032109492,-0.030816225066337768,0.08728861376449856,0.3413263561675316,-0.036896011047226784,0.05381224640858108,-0.1450357688842082,0.07124374678975462,0.496169282280987,Tertiary
I(exp_imp^2)...3,9.421432650202821e-4,0.0034322447382845196,-0.005955210768803417,0.007839497298843982,0.7848561850838618,9.448733664646984e-4,0.002237175830935854,-0.0035508997844880246,0.005440646517417422,0.6746164215231327,0.00085426871283320765,0.002124290386157073,-0.0034146526436597564,0.005123190069326171,0.6893275875435662,-5.066640643484489e-5,0.0023511800275585965,-0.004775539567849443,0.004674206754979754,0.9828949499841906,0.0032477275887478263,0.004048187886313243,-0.004887410542833826,0.011382865720329479,0.42627250169672726,Tertiary
areaUrban-Type Settlement...4,0.500758854726812,0.16120819015462856,0.17679886776964876,0.8247188416839752,0.003147883606535994,0.33688667863617106,0.15260838557774978,0.0302086460008541,0.643564711271488,0.031990470448256494,0.29014342383617864,0.1502729698762796,-0.01184141523706106,0.5921282629094183,0.05930754885268269,0.36635600670465196,0.14276978359513134,0.07944938498157567,0.6532626284277283,0.013394740213477441,0.3653244042406255,0.16764509702373606,0.02842896863559674,0.7022198398456543,0.03415727525047084,Tertiary
areaCity...5,0.2615562882516862,0.15573131006710006,-0.05139749610485356,0.574510072608226,0.09941389486872092,0.17971532165207943,0.15536036035774053,-0.13249301135431113,0.49192365465847,0.25297708926690177,0.17345717547281594,0.13332025552721907,-0.09445990864242618,0.4413742595880581,0.19932411496412297,0.3124360586579821,0.12938251689170388,0.05243215659495837,0.5724399607210058,0.019520580935090175,0.25986574072440577,0.1549410024594536,-0.05149986103409282,0.5712313424829043,0.09987395728028943,Tertiary
areaRegional Center...6,0.26381873964739433,0.5856375477888419,-0.913063974322154,1.4407014536169427,0.6543504596650622,0.2014912107519255,0.5949407764768414,-0.994087041214377,1.397069462718228,0.7363020570427359,0.28820357722480777,0.5912983726702554,-0.9000549902481543,1.4764621446977697,0.628142791016616,0.24333838294679333,0.5854724794075937,-0.9332126136913658,1.4198893795849523,0.6794972834056332,0.25134707347928015,0.5939185762665022,-0.9421769902569366,1.444871137215497,0.6740001839287244,Tertiary
sexMale...7,0.5901238032785034,0.13189978898329652,0.3250612535550987,0.8551863530019082,4.570153969807991e-5,0.3912718792767359,0.0571010876871253,0.2765229474475436,0.5060208111059282,1.1236772394735487e-8,0.3019041034170592,0.04975548228875671,0.20191671829815125,0.4018914885359671,1.8401921358498105e-7,0.28810361688946823,0.040737703084555585,0.20623813755322187,0.3699690962257146,5.128791543463968e-9,0.2549999803058246,0.061690196259003086,0.13102888953008915,0.37897107108156003,1.392074771253544e-4,Tertiary
marital_status2. Married/Civil partnership...8,-0.21860028246848617,0.0912811725099816,-0.4020366663606675,-0.035163898576304864,0.020497850901115583,-0.157238879816597,0.05893648934428687,-0.2756761893662072,-0.038801570266986815,0.01031666344593163,-0.06560569594845166,0.04270199974876033,-0.15141857721945942,0.02020718532255611,0.13088252492038324,-0.05901996710333738,0.044022120786217915,-0.14748573092123327,0.029445796714558513,0.18620419920459697,-0.10977958401491988,0.061629377647323035,-0.23362845521466652,0.014069287184826765,0.0810643292633989,Tertiary
marital_status3. Divorced/Separated/Widowed...9,-0.04452580768647964,0.3160021926296758,-0.6795559888736201,0.5905043735006609,0.888523865507346,0.021199062883956864,0.14941480725557799,-0.2790612338372909,0.3214593596052046,0.8877560693436706,0.1298295568026218,0.17809904628204398,-0.22807387636210816,0.4877329899673517,0.46948771279886925,0.1868866707319431,0.16707843800366276,-0.14887002093845048,0.5226433624023367,0.26878318950614305,0.06756161239259925,0.17167793597404502,-0.27743811650230066,0.4125613412874992,0.6956301541540417,Tertiary
regionКраснодар...10,0.02136311355756522,0.6582966975010436,-1.3015336284244898,1.3442598555396201,0.9742433414095779,-0.009681672483236693,0.6182073249079724,-1.2520158040302083,1.2326524590637349,0.9875685280956173,-0.01559195923720249,0.6158621452782759,-1.253213275873716,1.222029357399311,0.9799047104565848,0.012213058876167414,0.6356634918411511,-1.2652005534749144,1.289626671227249,0.9847491396423214,0.05239048220969187,0.6305031868943483,-1.2146531091042594,1.3194340735236432,0.9341160185151399,Tertiary
"regionУдмуртская Республика, Глазов и Глазовский...11",0.09407748316235967,0.27279579290108974,-0.45412618704470675,0.642281153369426,0.7316724477839864,-0.14837210142125815,0.21460820722410115,-0.5796434403435122,0.2828992375009959,0.4926003913962633,-0.17890461595977636,0.18905444407277883,-0.5588237452376674,0.20101451331811476,0.3486325945607943,-0.2702863979439155,0.20841063790154024,-0.6891032550251593,0.14853045913732832,0.2007416727746647,-0.20949785128627937,0.20400197055827876,-0.6194551596457646,0.20045945707320587,0.3094915322729032,Tertiary
"regionПермский край, Соликамск и Соликамский райо...12",0.3507835310426305,0.32952945617775753,-0.311430703996856,1.012997766082117,0.29232072259416875,-0.13906190092141962,0.31490579717630246,-0.77188879295536,0.49376499111252065,0.6607225379759054,-0.19139905020865342,0.23491831397619148,-0.6634850767233595,0.28068697630605277,0.419159357229164,-0.25072185902714783,0.2553141467912713,-0.7637948461076663,0.2623511280533707,0.3309174048607161,-0.26062674200132097,0.30106381633090634,-0.8656371320955359,0.344383648092894,0.39088126201662154,Tertiary
"regionКалужская область, Куйбышевский район...13",0.5622795639556841,0.34904970625094933,-0.13916208225345883,1.2637212101648272,0.11362824394585576,0.23382494760721373,0.3285559719969887,-0.4264329977288627,0.8940828929432901,0.48004091969880647,0.46469415423077026,0.24756106445634013,-0.032798430578046434,0.962186739039587,0.06646614888706974,0.28212415474370156,0.2454372853522022,-0.21110053616830704,0.7753488456557102,0.25593971335226956,0.23399157685906424,0.21123020238966653,-0.19049140719700713,0.6584745609151357,0.27337527922396626,Tertiary
"regionТамбовская область, Уварово и Уваровский ра...14",-0.41242000383627453,0.3105857386393328,-1.0365654132113717,0.2117254055388228,0.19037115876394636,-0.349642318277885,0.2371743692064615,-0.8262620575169377,0.1269774209611677,0.14682406854965147,-0.37337402259066266,0.2284748971062791,-0.8325115181210921,0.08576347293976683,0.10862603339181996,-0.44770519161128675,0.24453552761948796,-0.939117732513743,0.04370734929116954,0.07320899143685473,-0.27726709605591554,0.25751120347757284,-0.7947552338477948,0.24022104173596376,0.28687872567692474,Tertiary
"regionВолгоградская область, Руднянский район...15",-0.6733095915377343,0.24015955934328906,-1.155928294953878,-0.19069088812159046,0.007222231919519609,-0.5325795844460278,0.2517689165853114,-1.0385281646947266,-0.02663100419732889,0.03950807479024653,-0.3965506944964774,0.21422216985533654,-0.8270462622818555,0.03394487328890078,0.07018443349668224,-0.3661981303567592,0.2172676074418625,-0.8028137341022425,0.07041747338872417,0.09825690048479442,-0.41920359609703534,0.19220425032746052,-0.8054524980260895,-0.032954694167981136,0.03400991701423518,Tertiary
regionКазань...16,-0.24308878419271635,0.6796389664358778,-1.608874421330367,1.1226968529449344,0.7221238349667325,-0.19882096331846127,0.6339582248032537,-1.4728077132574917,1.0751657866205693,0.7551420967250351,-0.20689587598398373,0.6324338617487176,-1.477819303676224,1.0640275517082562,0.7449537442650608,-0.16499178330060796,0.6364985627171471,-1.4440835334053392,1.1140999668041232,0.7965531115693911,-0.16902163601068942,0.6323692475531609,-1.4398152166155715,1.101771944594193,0.7903729638394514,Tertiary
regionКурган...17,0.18384306562420571,0.6366225287419764,-1.095497803534268,1.4631839347826792,0.7739688840302055,0.014574041431547176,0.6436948639221992,-1.27897921737378,1.3081273002368743,0.9820284091726251,-0.13409656541415282,0.649796153425545,-1.43991082451996,1.1717176936916545,0.8373592491014817,-0.09993597394301908,0.6446262117504022,-1.3953608462810572,1.1954888983950192,0.8774350402990828,-0.04755749647425802,0.6590842211159567,-1.3720368264114968,1.2769218334629808,0.9427707458085859,Tertiary
"regionОренбургская область, Орск...18",0.09940412602598547,0.2768276929528501,-0.45690195068367856,0.6557102027356495,0.7210757282155198,-0.10126734888829186,0.20942359832892626,-0.5221198261606025,0.31958512838401876,0.6308572663708656,-0.2012093881362038,0.19641477243282104,-0.5959196510235758,0.1935008747511682,0.3106722638369771,-0.27822641991917657,0.21255483437595465,-0.7053713516132019,0.14891851177484877,0.19665255523581623,-0.19390244611529972,0.23007997709330927,-0.6562654706412767,0.2684605784106773,0.4034571160689606,Tertiary
"regionРеспублика Чувашия, Шумерля и Шумерлинский...19",-0.3212889689525013,0.35204237322634985,-1.0287446046083837,0.386166666703381,0.36589901474775477,-0.30833189806389605,0.2527322427654231,-0.8162163547494258,0.19955255862163368,0.22830640170262684,-0.27247786730721535,0.25234439790809615,-0.7795829205716129,0.23462718595718224,0.2855240099632315,-0.3396957793353241,0.3217266497519472,-0.9862296878013892,0.3068381291307411,0.2962139484493803,-0.15484382718198667,0.30477993719935037,-0.7673220417516059,0.4576343873876326,0.6136969955927523,Tertiary
"regionСтавропольский край, Георгиевск и Георгиев...20",-0.01941409915972287,0.2775191627314589,-0.5771097364137024,0.5382815380942566,0.9445134951501972,-0.1305171713269306,0.24471884047468287,-0.622298093203834,0.36126375054997284,0.5962125520828819,-0.16723541508791018,0.19872501559917088,-0.5665882854341259,0.23211745525830552,0.4041328667216957,-0.2606785262232541,0.18273856990961956,-0.627905431182036,0.10654837873552775,0.16006185952474808,-0.255632271660436,0.20316019805498678,-0.6638979748420093,0.15263343152113734,0.21425354579666045,Tertiary
"regionАлтайский край, Курьинский район...21",0.29946079543242965,0.24933447712446208,-0.20159559555945628,0.8005171864243156,0.2355090858516878,0.03322616082693887,0.1852184718679236,-0.3389842936977591,0.40543661535163683,0.8583719997989098,-0.06561452394814955,0.17926203547525296,-0.42585507139660117,0.2946260235003021,0.7159214491009649,0.1142004142365105,0.28321485958706333,-0.4549411543766866,0.6833419828497076,0.6885339871086479,-0.09692945104326,0.19306005567948278,-0.48489815821554083,0.2910392561290208,0.6178678027534105,Tertiary
regionКрасноярск...22,0.30379422541012024,0.6639949285130425,-1.0305535405090898,1.6381419913293302,0.649316076064851,0.036149757809073604,0.6761394995569093,-1.3226034373454478,1.3949029529635952,0.9575788509158067,-8.215392818357054e-5,0.6387669179367864,-1.2837323345113147,1.2835680266549474,0.999897903619902,0.04351803701811943,0.6520176649776003,-1.2667605166916949,1.3537965907279337,0.9470573778396293,-0.009649430391664708,0.6532013654244471,-1.3223067192076412,1.3030078584243117,0.9882736486433195,Tertiary
"regionТверская область, Ржев и Ржевский район...23",-0.2558984177013366,0.32600615050942505,-0.911032304916905,0.39923546951423183,0.436261908535412,-0.407831566113853,0.23800175825289566,-0.8861140058920918,0.07045087366438574,0.09292930460734997,-0.32605376003695824,0.23979682063127755,-0.8079435127198955,0.15583599264597908,0.18014636271707268,-0.44939025564987106,0.26435899951260483,-0.9806395547826625,0.08185904348292034,0.09548545102957824,-0.39183462844478,0.23561961356340455,-0.8653299692437586,0.08166071235419853,0.10269742038471961,Tertiary
regionСаратов...24,-0.4658572272155571,0.7968582553730492,-2.0672038447152445,1.1354893902841305,0.5614872917949221,-0.435883067696782,0.6669032625215089,-1.776075349620707,0.9043092142271429,0.5164298258576182,-0.35253044837202546,0.6428877300791479,-1.6444617109933077,0.9394008142492567,0.5859382494897705,-0.30122012374929286,0.6427662647925749,-1.5929072927385073,0.9904670452399216,0.6414117088150133,-0.29444373919671013,0.6788910804552377,-1.6587264431874702,1.06983896479405,0.6664006122719545,Tertiary
regionТомск...25,0.2344295039696901,0.7196925733336395,-1.211846869747411,1.6807058776867914,0.7460113853932933,-0.03694171019683145,0.6765141714003929,-1.3964478366100672,1.3225644162164043,0.9566744246401362,-0.03336553354146119,0.6989402053105112,-1.4379384623674911,1.371207395284569,0.9621196318532187,0.08497766549688862,0.6810146635465403,-1.2835725384881396,1.4535278694819167,0.9012074782574313,0.1356827413043703,0.6958837796514691,-1.2627480702031222,1.534113552811863,0.8462155879053102,Tertiary
regionЛипецк...26,-0.229382056064524,0.6485382726430081,-1.5326685090984844,1.0739043969694366,0.7250879141899926,-0.28142116190423966,0.6198492492217896,-1.5270548638934989,0.9642125400850194,0.6518223576603025,-0.3920589437960083,0.6294557615227148,-1.656997655020384,0.8728797674283675,0.5362687911709774,-0.3995219241936193,0.6333608716290429,-1.672308247985935,0.8732643995986965,0.5311048079657803,-0.4707312508967353,0.6421676222530106,-1.761215402662549,0.8197529008690786,0.4670296733455723,Tertiary
"regionКрасноярский край, Назарово и Назаровский р...27",0.3060786484814418,0.3044807307817677,-0.30579828828061323,0.9179555852434969,0.31971596964345084,0.19142022177761137,0.22949347565663028,-0.26976418398467483,0.6526046275398976,0.40827329323007744,0.2340153822513506,0.22322939722071525,-0.21458088660268548,0.6826116511053867,0.2996355569971955,0.11365662610144667,0.21675929132679717,-0.3219374781665677,0.549250730369461,0.6024027559233245,0.13028448349152577,0.22321447552407578,-0.3182817990904477,0.5788507660734992,0.5621169334716312,Tertiary
