variable,X0.1.Value,X0.1.Std..Error,X0.1.lower.bound,X0.1.upper.bound,X0.1.Pr...t..,X0.25.Value,X0.25.Std..Error,X0.25.lower.bound,X0.25.upper.bound,X0.25.Pr...t..,X0.5.Value,X0.5.Std..Error,X0.5.lower.bound,X0.5.upper.bound,X0.5.Pr...t..,X0.75.Value,X0.75.Std..Error,X0.75.lower.bound,X0.75.upper.bound,X0.75.Pr...t..,X0.9.Value,X0.9.Std..Error,X0.9.lower.bound,X0.9.upper.bound,X0.9.Pr...t..,model
(Intercept)...1,3.950539350402653,0.23239812982239355,3.483517823556425,4.4175608772488815,3.464221082147435e-22,4.528063414026054,0.1749601183147287,4.176467892775573,4.8796589352765345,3.106016303608868e-30,4.732388634963014,0.1756458025288507,4.379415179695343,5.085362090230685,4.9127957495505864e-31,4.8598031619793005,0.1731195464161088,4.511906408438442,5.207699915520159,7.409537383546768e-32,5.294778503263259,0.22175809342005984,4.849138930093313,5.740418076433204,1.212808076976252e-28,Tertiary
exp_imp...2,0.005695924507851146,0.0328511706450923,-0.06032097453123333,0.07171282354693562,0.8630625200457263,-0.005791124273386272,0.025735863839114154,-0.05750927895059992,0.045927030403827375,0.8228983078762533,0.004504129734469246,0.02564321334700369,-0.04702783680809138,0.05603609627702987,0.8612958692162509,0.0282361943490804,0.027137625717794978,-0.026298906287881996,0.0827712949860428,0.3032231991233443,-0.036896011047226784,0.05006437660244873,-0.13750414252982024,0.06371212043536668,0.4646540088756306,Tertiary
I(exp_imp^2)...3,9.421432650202821e-4,0.0029892821429749893,-0.005065044106294884,0.006949330636335448,0.7539680828994778,9.448733664646984e-4,0.0021716731608240345,-0.003419267240665466,0.005309013973594863,0.6654074787266038,0.00085426871283320765,0.0021083767342991106,-0.0033826729629537,0.005091210388620115,0.6871099940271673,-5.066640643484489e-5,0.002156555614179714,-0.0043844271661824365,0.004283094353312747,0.9813515345477504,0.0032477275887478263,0.0039078215768267215,-0.004605333883162492,0.011100789060658145,0.40995777702401703,Tertiary
areaUrban-Type Settlement...4,0.500758854726812,0.18879752918825418,0.1213560152389116,0.8801616942147125,0.01074096349662372,0.33688667863617106,0.1471001016956188,0.04127795688946262,0.6324954003828795,0.026353987965139023,0.29014342383617864,0.1287505404101455,0.031409526060942716,0.5488773216114146,0.028734175691429668,0.36635600670465196,0.11765498475883955,0.1299194628084699,0.602792550600834,0.00308172986514894,0.3653244042406255,0.13642151884108747,0.0911750981660161,0.6394737103152349,0.010053211302290432,Tertiary
areaCity...5,0.2615562882516862,0.17925398030005638,-0.09866807171615966,0.621780648219532,0.1509083918645966,0.17971532165207943,0.17558454573891125,-0.17313503348742298,0.5325656767915818,0.31108597807634264,0.17345717547281594,0.15830055369660062,-0.1446596972597202,0.4915740482053521,0.2785465254276446,0.3124360586579821,0.1387601914809312,0.033587013958591094,0.591285103357373,0.0288629827208641,0.25986574072440577,0.14552546220309776,-0.032578624490726626,0.5523101059395381,0.0803361401358162,Tertiary
areaRegional Center...6,0.26381873964739433,0.6038456239166423,-0.9496544732243459,1.4772919525191346,0.6641049349659323,0.2014912107519255,0.5911208052420843,-0.9864105216144632,1.3893929431183143,0.7346639548917779,0.28820357722480777,0.5868467360501682,-0.8911090915317295,1.467516245981345,0.6255444193105741,0.24333838294679333,0.5895240522704043,-0.9413545541878946,1.4280313200814811,0.6815750783607302,0.25134707347928015,0.5673413853875506,-0.8887681255941382,1.3914622725526986,0.6596966247948082,Tertiary
sexMale...7,0.5901238032785034,0.1222464208494584,0.3444604231117523,0.8357871834452546,1.3949145747944068e-5,0.3912718792767359,0.04763999303587461,0.2955357289748329,0.4870080295786389,9.039482395320516e-11,0.3019041034170592,0.0362156188306151,0.2291260926177437,0.3746821142163747,5.8741149065355e-11,0.28810361688946823,0.048184647387256335,0.19127294269023376,0.3849342910887027,2.519970874895594e-7,0.2549999803058246,0.0545667693484081,0.14534395185312088,0.3646560087585283,2.349251566087272e-5,Tertiary
marital_status2. Married/Civil partnership...8,-0.21860028246848617,0.09456841689791298,-0.40864263128104644,-0.028557933655925904,0.025048804479597234,-0.157238879816597,0.0583181785834334,-0.27443364737234555,-0.04004411226084849,0.009585331462405759,-0.06560569594845166,0.03565498514188418,-0.13725707116979308,0.006045679272889765,0.0718271697832191,-0.05901996710333738,0.03890418374003959,-0.13720085136804694,0.019160917161372186,0.1356772931593533,-0.10977958401491988,0.04114791120680551,-0.19246940743570898,-0.02708976059413079,0.010316974137790251,Tertiary
marital_status3. Divorced/Separated/Widowed...9,-0.04452580768647964,0.31824550967411774,-0.6840641032551605,0.5950124878822013,0.8893044270409376,0.021199062883956864,0.15527105961034382,-0.29082981355180815,0.33322793931972183,0.8919622051151528,0.1298295568026218,0.18200603719604233,-0.23592526855456822,0.4955843821598118,0.4790280692883456,0.1868866707319431,0.1908511984730208,-0.19664317169587725,0.5704165131597634,0.33227792522465815,0.06756161239259925,0.20691962126357566,-0.34825893457484325,0.4833821593600418,0.7454280523921827,Tertiary
regionКраснодар...10,0.02136311355756522,0.6449879396087143,-1.2747886781271165,1.3175149052422468,0.9737120717290801,-0.009681672483236693,0.5859579797498797,-1.1872083185868716,1.1678449736203982,0.9868843995623494,-0.01559195923720249,0.5897943785075599,-1.2008281372840246,1.1696442188096197,0.9790167443029685,0.012213058876167414,0.6073680907124499,-1.2083388160420379,1.2327649337943725,0.9840387447530781,0.05239048220969187,0.6161256034597853,-1.185760273464402,1.2905412378837857,0.9325823184780706,Tertiary
"regionУдмуртская Республика, Глазов и Глазовский...11",0.09407748316235967,0.2854581830894498,-0.4795722128101034,0.6677271791348227,0.7431321777794311,-0.14837210142125815,0.25976965588378675,-0.6703987692428999,0.37365456640038364,0.5704963723971332,-0.17890461595977636,0.2835653843118633,-0.748750590379933,0.39094135846038025,0.5310304434301686,-0.2702863979439155,0.2679033942814144,-0.8086584250347171,0.26808562914688605,0.3179812441049124,-0.20949785128627937,0.2836158145754198,-0.7794451691152811,0.36044946654272225,0.4636323823510543,Tertiary
